name,Eads,delta_e,Ebonding,d-band,f3,f4,f5,f6,iz3,iz4,iz5,iz6,izz3,izz4,izz5,izz6
hollow-16-78,-0.666725,-0.05803,6.61621,-4.04900717,291.85301,434.461002,524.122001,1233.645455,0.189592,0.608934,2.667601,125.65798,11.931862,4.78015,0.143713,68.889465
hollow-16-79,-1.277163,-0.048517,6.00577,-4.07176711,315.447146,366.54996,482.586126,1238.090643,0.564241,1.955267,0.061273,103.141524,2.548772,2.055932,0.193922,23.062347
hollow-16-80,-0.397828,-0.066552,6.88511,-4.037001066,292.744098,544.108717,587.709062,1241.073422,0.522474,4.988864,0.399649,118.909502,10.326448,0.003364,0.02471,52.720985
hollow-16-83,-0.520209,-0.062686,6.76273,-4.044899888,294.837384,530.159864,568.495623,1241.448264,0.383882,5.562587,2.233296,111.860893,9.532396,0.192039,0.110325,44.168092
hollow-16-84,-2.285178,-0.057966,4.99776,-4.122200424,294.079615,408.144109,462.30375,1253.66524,2.6188,0.456996,0.116213,69.695757,0.065521,0.042707,1.888987,7.825582
hollow-16-85,-1.043942,-0.049719,6.239,-4.059387546,281.491681,353.889171,519.19007,1211.37876,0.000064,0.133502,0.0311,132.482474,0.149872,5.219794,0.002822,20.602482
hollow-16-86,-0.39886,-0.065785,6.88408,-4.036590811,292.33351,544.601764,586.584281,1241.352763,0.530477,4.671501,0.881793,118.591392,10.349387,0.005911,0.046938,52.279774
hollow-16-87,-1.876955,-0.050305,5.40598,-4.106625932,312.772199,390.115844,439.716814,1248.289001,2.37096,0.126183,0.748126,80.071158,0.076655,2.220452,0.639495,11.573941
hollow-16-88,-0.67081,-0.058156,6.61213,-4.046086076,288.547032,429.124764,523.658556,1231.314992,0.178465,0.393725,2.253121,129.017745,11.960845,2.018508,0.00267,63.264507
hollow-16-89,-0.522765,-0.062507,6.76017,-4.044820114,293.355329,531.231619,558.045694,1241.952264,0.394545,4.345317,3.440789,111.653977,10.370919,1.026054,2.609951,47.74193
hollow-16-90,-1.548838,-0.046905,5.7341,-4.085592419,317.527144,365.683184,457.876095,1242.267657,1.317846,1.413291,0.416825,91.168949,0.803125,2.63372,0.288199,16.88525
hollow-16-91,-0.300128,-0.07068,6.98281,-4.026368454,291.680948,557.942889,592.619152,1242.691471,0.684615,3.56508,0.059464,123.128822,11.303404,0.026528,0.006975,57.070806
hollow-16-92,-0.845859,-0.05313,6.43708,-4.049317628,286.800778,395.798836,509.569506,1229.37478,0.115712,0.976369,0.6486,124.871402,7.633852,0.159358,0.001743,41.152075
hollow-16-93,-0.4003,-0.066774,6.88264,-4.0348228,291.784133,545.089555,585.264593,1241.514701,0.541988,4.210347,1.542517,118.205022,10.417126,0.008707,0.068199,51.845809
hollow-16-94,-1.278022,-0.046968,6.00492,-4.075620904,305.362378,366.890621,476.663796,1236.13443,0.285809,2.337172,0.07972,102.91936,2.752467,1.757095,0.182434,23.087436
hollow-16-95,-0.300606,-0.070718,6.98233,-4.03122856,291.594964,558.169305,592.32419,1242.780163,0.687245,3.426072,0.245127,123.047255,11.318624,0.025987,0.019861,56.839697
hollow-16-99,-0.525489,-0.061999,6.75745,-4.038050483,291.615078,529.096321,545.852207,1241.532961,0.40017,1.422152,5.863552,112.919402,12.197759,9.146091,10.636544,64.582303
hollow-17-101,-0.558112,-0.046801,6.88336,-3.992390908,207.159997,366.69107,529.823358,1205.005189,0.09258,0.117726,0.142607,158.929422,0.065544,6.123852,0.474983,51.984483
hollow-17-102,-0.313119,-0.054332,7.12835,-3.983814821,261.925902,530.834963,552.524684,1227.015716,1.184731,3.775675,2.059998,133.333206,12.606562,0.699757,1.696438,64.911864
hollow-17-104,-0.22145,-0.058212,7.22002,-3.97711174,262.518534,541.933975,570.948548,1228.279015,1.371533,3.347673,0.481706,139.281804,11.511652,0.136099,0.038094,69.620879
hollow-17-108,-0.221988,-0.057642,7.21949,-3.976292876,262.273829,542.361875,570.042264,1228.357513,1.374149,3.061387,0.861872,139.112241,11.578415,0.11432,0.066195,69.488093
hollow-17-110,-0.150634,-0.061933,7.29084,-3.970685689,262.396009,552.314978,574.279527,1229.527392,1.507107,2.175383,0.020112,143.370251,12.151436,0.133054,0.000637,73.898782
hollow-17-112,-0.314497,-0.054535,7.12698,-3.982536628,260.827816,530.889528,545.520014,1227.256669,1.166816,2.150993,3.544916,133.570713,15.041865,3.501459,7.66378,72.786873
hollow-17-114,-0.150832,-0.061842,7.29064,-3.97023094,262.357516,552.460804,574.277407,1229.602661,1.505641,2.105634,0.109325,143.333941,12.145999,0.137835,0.009855,73.957435
hollow-17-115,-0.561461,-0.046278,6.88001,-3.989415384,207.194689,369.50946,526.257743,1205.502917,0.088378,0.096382,0.062686,158.59663,0.040864,4.71701,0.336272,54.42483
hollow-17-116,-0.222599,-0.05815,7.21887,-3.976729783,261.993192,542.77688,569.001657,1228.430392,1.377898,2.682147,1.349935,138.92282,11.63453,0.092462,0.102223,69.257391
hollow-17-118,-0.151092,-0.061155,7.29038,-3.969859655,262.297421,552.664376,574.062627,1229.653622,1.504567,1.9816,0.264135,143.276665,12.137834,0.132847,0.026938,74.008309
hollow-17-119,-0.315753,-0.054751,7.12572,-3.978961343,259.599354,525.850976,541.249873,1227.296772,1.140525,0.172216,5.197358,134.441634,19.605951,26.38608,13.029121,92.1153
hollow-17-123,-0.22326,-0.057958,7.21821,-3.974395794,261.693457,543.004148,567.960862,1228.462836,1.382302,2.209787,1.934333,138.730826,11.678377,0.073088,0.141757,69.024379
hollow-17-124,-2.56208,-0.055842,4.87939,-4.032022868,253.393237,316.65161,418.226994,1232.097698,0.815835,0.059349,0.033208,60.746491,0.057857,0.067104,0.488241,5.696161
hollow-17-126,-0.151369,-0.061452,7.29011,-3.967638638,262.220752,552.889765,573.643167,1229.6627,1.504272,1.802717,0.481149,143.207571,12.139151,0.115262,0.048706,74.047143
hollow-17-130,-0.564315,-0.046107,6.87716,-3.988358105,207.098791,372.911989,522.682495,1206.106186,0.084266,0.071494,0.011626,157.913874,0.064817,4.003088,0.212667,55.882188
hollow-17-131,-0.151666,-0.061796,7.28981,-3.967052618,262.133765,553.106649,573.107454,1229.642057,1.504711,1.571386,0.756778,143.130842,12.148116,0.089914,0.074654,74.067752
hollow-17-132,-0.316933,-0.054835,7.12454,-3.978630592,258.394817,514.81135,541.808057,1226.865957,1.113331,0.009876,4.961035,135.823155,26.797814,85.074008,17.950919,127.399783
