Name,ΔG-homo,ΔG-M1,ΔG-M2,ΔG-M3,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd,RAC-d1-charge,RAC-d1-spin,RAC-d1-dband,RAC-d1-Z,RAC-d1-X,RAC-d1-T,RAC-d1-I,RAC-d1-S,RAC-d2-charge,RAC-d2-spin,RAC-d2-dband,RAC-d2-Z,RAC-d2-X,RAC-d2-T,RAC-d2-I,RAC-d2-S,RAC-d3-charge,RAC-d3-spin,RAC-d3-dband,RAC-d3-Z,RAC-d3-X,RAC-d3-T,RAC-d3-I,RAC-d3-S,RAC-d4-charge,RAC-d4-spin,RAC-d4-dband,RAC-d4-Z,RAC-d4-X,RAC-d4-T,RAC-d4-I,RAC-d4-S,RAC-d5-charge,RAC-d5-spin,RAC-d5-dband,RAC-d5-Z,RAC-d5-X,RAC-d5-T,RAC-d5-I,RAC-d5-S
ZnCuFeZn_4,259.4078413,182.2181354,#VALUE!,178.5634392,1.18903,0.95441,1.18855,-0.99718,0.55575,0.0109,2.7044,0.0048,0.11337,-0.0005,-6.18279,-3.7102,-6.91186,-3.76072,-1.42091,0.883155,0.899608,0.883155,2.013537744,1.839966651,1.917526809,90.31043886,112.2700523,114.7203631,-46.66499115,12,8,12,-3.32259,0.308378,63.1983,688,17.6472,50.8235,3,2.6136,4.477,0.0171551,145.748,784,94.9096,87.5107,9,4.719,-0.669796,0.00175043,206.263,256,96.0448,46.1302,11,2.9436,-1.47896,-3.40E-06,40.5516,24,22.704,10.0288,3,0.6138,0,0,0,0,0,0,0,0
MnCuNiZn_7,#VALUE!,181.7928044,171.9235492,162.2590829,0.96465,0.99669,1.17662,-0.98387,0.52588,3.6205,1.6649,0.0115,0.1652,0.0433,-2.91853,-2.32155,-6.15523,-2.84403,-1.44844,2.14414,2.179603,2.14414,1.914448691,2.06817228,1.86843987,81.91662939,125.9607654,105.9906925,-38.83932255,7,10,12,-3.08734,0.875048,32.4086,664,17.5784,53.4726,3,2.6862,5.3165,0.0866408,111.977,848,106.743,95.8171,10,5.1546,-2.23728,0.00219055,149.029,200,91.7792,39.1459,11,2.7126,-0.959854,8.26E-06,15.696,16,15.136,6.63582,2,0.4092,0,0,0,0,0,0,0,0
CoCuMnNi_10,211.9755547,181.7612984,203.7839941,162.5347604,1.03288,1.04984,0.80441,-0.90724,0.67492,2.6893,3.7224,1.3048,0.29807,0.2361,-2.99904,-3.22752,-2.04157,-3.22695,-2.11721,2.44339,0.557596,0.557596,2.02506805,1.897450986,1.920056934,91.28974239,124.4829362,116.4601448,-35.9705229,9,7,10,-2.61932,2.30006,26.6808,640,18.3696,47.782,3,2.871,5.49246,0.269351,115.034,680,89.3712,73.3597,8,3.9204,-4.43398,0.0211183,159.911,232,77.916,51.9697,10,2.871,1.62568,0.00326685,37.3331,136,31.2352,15.4806,3,1.0758,-0.887925,-6.26E-05,20.7964,16,15.136,6.88307,2,0.4092
FeCuMnMn_6,235.6943235,181.5302544,186.8810238,163.4799405,1.19155,1.07158,1.07161,-0.93505,0.5377,3.8963,4.66092,-4.56281,0.26837,-0.0258,-4.49827,-2.3401,-2.87996,-3.69205,-1.5172,1.606309,1.018696,1.018696,1.853528135,2.196829993,1.912376156,88.15855861,137.827682,110.6360717,-26.17666489,8,7,7,-3.11815,1.07198,35.8806,608,16.9592,52.1586,3,3.1284,5.24167,0.192998,160.775,848,106.743,100.122,10,5.1546,-2.09001,0.00494606,211.819,200,91.7792,39.9504,11,2.7126,-0.907831,-8.59E-05,24.3592,16,15.136,6.87008,2,0.4092,0,0,0,0,0,0,0,0
MnCuZnZn_5,#VALUE!,181.5013739,161.5790784,156.4514765,0.96503,1.22267,1.18917,-1.03011,0.54793,3.6246,0.0285,0.0138,0.0838,0.0333,-2.91165,-5.67535,-6.27927,-2.72354,-1.41243,2.16261,2.716567,2.16261,1.897046504,2.131559769,1.872246075,82.53930317,127.2106515,106.1197851,-37.20424294,7,12,12,-3.47855,0.307286,40.4889,680,16.684,55.9784,3,2.673,5.76649,0.0193469,109.235,848,106.743,97.6806,10,5.1546,-2.34636,0.00151762,145.215,200,91.7792,39.7154,11,2.7126,-1.00269,1.51E-05,15.2764,16,15.136,6.71635,2,0.4092,0,0,0,0,0,0,0,0
NiCuFeCo_11,225.6937932,181.3648479,190.120891,161.2797713,0.97729,1.11214,0.96657,-0.90325,0.58947,1.6329,3.8737,2.5823,0.52764,0.1587,-2.68239,-4.65418,-2.85027,-3.30115,-1.68483,3.490223,0.881528,0.881528,1.990961508,1.975204009,1.894075463,83.83527014,123.2847133,106.1346395,-41.08453777,10,8,9,-2.76033,4.26803,33.6283,648,19.3328,53.3622,3,2.8116,4.85519,0.727858,142.756,848,106.743,102.927,10,5.1546,-2.02766,0.0024377,185.195,200,91.7792,39.587,11,2.7126,-0.88308,-0.00032186,21.9573,16,15.136,6.79811,2,0.4092,0,0,0,0,0,0,0,0
NiCuCuCo_8,186.4950753,180.3251498,177.4869841,157.268007,1.02739,0.91462,0.96449,-0.89297,0.7708,1.633,0.5449,2.5881,0.55391,0.4087,-2.43466,-2.61231,-3.09819,-3.22302,-2.3058,3.958956,0.921763,0.921763,1.964038114,1.982828274,1.837473923,87.77227249,123.1862916,105.8810935,-39.17431439,10,11,9,-2.59542,2.63994,26.252,672,19.5736,45.01,3,2.6796,5.43492,0.806764,111.906,680,89.3712,72.7577,8,3.9204,-4.8269,0.117412,160.411,240,85.484,50.1166,11,3.0756,2.06243,0.00683525,19.4008,128,23.6672,11.7109,2,0.8712,-0.872423,-0.000343424,17.4097,16,15.136,6.67622,2,0.4092
FeCuFeCo_13,239.0182068,180.2805163,191.4992786,159.5469412,1.09953,1.01981,0.97759,-0.91556,0.57303,3.7989,3.7603,2.5928,0.51639,0.1004,-3.85526,-4.06649,-2.97596,-3.52468,-1.68356,3.690638,1.147747,1.147747,1.956317557,2.052336325,1.854375224,78.96575429,130.1182884,108.1838717,-37.72255076,8,8,9,-2.83543,5.24239,38.4109,632,19.0576,54.2442,3,2.9964,4.9311,0.683607,155.225,848,106.743,100.225,10,5.1546,-2.04085,0.00426538,201.93,200,91.7792,39.6689,11,2.7126,-0.893092,-0.000263359,23.6752,16,15.136,6.82381,2,0.4092,0,0,0,0,0,0,0,0
NiCuCuZn_5,#VALUE!,180.0993568,172.5930517,158.3287091,1.02975,0.92587,1.19725,-1.025,0.77767,1.6242,0.5615,0.0027,0.32926,0.4194,-2.20856,-2.52308,-6.02794,-2.74586,-2.09947,3.651257,1.248878,1.248878,1.936607966,1.945130188,1.874048423,88.5833946,127.3412417,107.7601507,-35.73895862,10,11,12,-3.23169,0.720553,29.5443,696,18.7824,46.4429,3,2.4948,6.34778,0.412224,90.1918,680,89.3712,73.7223,8,3.9204,-5.5333,0.0721935,130.598,240,85.484,50.7778,11,3.0756,2.36872,0.00386222,15.6812,128,23.6672,11.8559,2,0.8712,-1.00217,-0.000204141,13.9926,16,15.136,6.76346,2,0.4092
MnCuCuCu_3,156.7087755,179.9864603,174.1762283,183.029415,0.89212,0.94432,0.87298,-0.76419,0.56393,3.5249,-0.5378,-0.4623,-0.41609,0.0397,-2.99259,-2.81899,-2.64435,-3.3295,-1.47009,0.423572,2.871582,0.423572,1.898191186,2.006929028,1.924634475,85.48438021,123.5951388,107.8607174,-39.09592147,7,11,11,-2.07051,-1.05054,28.154,664,18.404,50.9288,3,2.805,3.12778,0.094132,123.157,784,94.9096,85.8572,9,4.719,-0.89706,-0.048799,183.805,264,103.613,47.2425,12,3.1482,-0.744199,-0.000112344,17.5711,16,15.136,6.71713,2,0.4092,0,0,0,0,0,0,0,0
