M1M2M3M4,E_homo,G_homo,E_M1,G_M1,E_M2,G_M2,E_M3,G_M3,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
MnCuFe,NaN,NaN,128.09,193.37,105.23,172.8,111.71,176.17,172.8,0.94754,0.92137,1.0445,-0.89272,0.57064,3.6231,0.55,3.6677,0.3645,0.0844,-3.31768,-2.88821,-3.85773,-3.65535,-1.98309,2.128475,0.247549,0.247549,1.964746961,2.013439083,1.850858082,84.92645308,123.2047744,108.9629664,-40.40050366,7,11,8
MnCuMn,NaN,NaN,148.54,201.01,96.79,164.64,101.62,159.57,159.57,0.9378,0.93882,1.11933,-0.89988,0.56346,3.6271,-0.5074,4.63372,-0.02661,0.0846,-2.92382,-2.73424,-2.66387,-3.20757,-1.61261,0.819071,2.203373,0.819071,1.926936859,1.988010691,1.925024452,86.03379909,123.8407399,110.6438581,-39.04277602,7,11,7
MnCuNi,NaN,NaN,136.05,198.06,83.07,154.27,99.49,157.79,154.27,0.92224,0.93949,0.99677,-0.85045,0.56031,3.5906,-0.5307,-1.5934,-0.31192,0.0468,-3.07021,-2.87269,-2.87587,-3.47666,-1.41383,0.796214,2.621226,0.796214,1.933161915,2.012029638,1.842952052,83.94656698,121.303508,113.5575399,-42.22302633,7,11,10
MnCuZn,NaN,NaN,147.88,196.41,94.38,163.44,103.25,162.92,162.92,0.95086,0.94809,1.18641,-0.95085,0.54418,3.6086,-0.5413,0.0108,-0.11553,0.045,-2.93975,-2.89948,-6.37907,-3.07325,-1.47194,0.814215,2.845883,0.814215,1.92666998,1.998182544,1.892971756,85.2129029,120.9949677,104.9145111,-41.22557611,7,11,12
MnFeCo,201.94,246.12,204.89,285.53,209.05,282.35,106.07,169.72,169.72,0.92534,0.98532,0.94175,-0.84774,0.5757,3.5099,3.6851,-2.5107,-0.08031,0.0842,-3.65483,-3.84727,-3.29746,-4.15214,-2.36574,1.393216,1.128357,1.128357,1.898039738,2.16348202,1.817376702,78.25864676,129.1448738,103.0890472,-37.00913413,7,8,9
MnFeCu,173.75,227.98,111.89,176.55,123.21,190.46,117.03,171.47,171.47,0.9804,1.18902,0.66072,-0.85887,0.56513,3.6684,3.9598,0.0984,0.38451,0.0706,-3.453,-4.6781,-1.48772,-3.39429,-1.76895,1.55558,0.874818,0.874818,1.91357556,1.941259496,2.034737165,87.61848098,126.1174876,109.489618,-36.53708698,7,8,11
MnFeFe,206.86,260.12,144.98,210.04,115.6,189.97,121.83,188.27,188.27,0.94216,0.9186,0.95665,-0.82926,0.60082,3.5353,3.6338,3.6351,0.34652,0.1034,-3.66524,-3.95558,-4.11827,-3.81969,-1.99202,2.015848,0.818459,0.818459,1.922401088,2.158208908,1.851734724,80.98432476,111.3311454,79.33716923,-43.07212955,7,8,8
MnFeMn,NaN,NaN,117.81,184.66,106.84,158.64,110.34,178.58,158.64,0.9334,1.09046,1.14336,-0.95469,0.59467,3.5578,3.7763,4.71452,0.24935,0.062,-3.6683,-3.76627,-3.35368,-3.91681,-2.43773,1.844863,0.890071,0.890071,1.90964216,2.024591721,1.94721177,84.50984442,126.5451012,108.8776641,-37.45679291,7,8,7
MnFeNi,NaN,NaN,148.27,202.87,147.55,213.78,140.23,199.26,199.26,1.02093,0.88821,0.72852,-0.7932,0.66531,3.6383,-3.1178,1.1434,0.13742,0.1361,-4.18875,-3.5274,-2.61033,-4.35731,-2.80682,0.749091,0.343873,0.343873,1.872873685,1.994881411,1.943581128,91.08663809,119.3847397,82.93550701,-37.53227064,7,8,10
MnFeZn,NaN,NaN,124.44,186.36,117.61,181.12,109.16,174.78,174.78,0.94415,1.07404,1.20282,-0.99915,0.5996,3.5579,3.7366,0.0161,0.15716,0.0471,-3.67006,-3.73262,-7.06785,-3.90262,-2.15899,1.922343,1.456554,1.456554,1.926824369,2.008497765,1.879362813,84.6134651,121.7660463,105.5819811,-40.99428852,7,8,12
MnMnCo,173.88,233.74,116.42,183.86,115.59,182.03,94.03,157.74,157.74,0.96403,1.10451,0.97457,-0.90711,0.56882,3.6515,4.70844,2.5958,0.31083,0.0878,-3.27261,-2.43557,-2.94688,-3.23745,-1.91822,1.712031,1.631564,1.631564,1.902608142,2.227868321,1.855166784,83.53614407,126.7301488,105.7112985,-36.70693147,7,7,9
MnMnCu,152.89,186.1,568.06,649.79,107.64,176.48,113.06,168.74,168.74,0.72356,0.74459,0.66778,-0.63354,0.57455,0,0,0,0,0,-2.2666,-2.23628,-2.01722,-4.19095,-2.09024,0.039636,0.039636,0.039636,1.934319443,1.844857687,2.144738578,87.91889515,120.3378529,115.5736029,-40.86283359,7,7,11
MnMnFe,NaN,NaN,122.5,186.36,116.82,183.6,126.75,186.9,183.6,0.9773,1.08675,0.98038,-0.91066,0.55343,3.6739,4.69509,3.595,0.32352,0.0657,-3.54597,-2.65235,-3.62849,-3.5068,-1.99748,1.739551,1.68452,1.68452,1.917709043,2.227833736,1.850313772,83.42033385,130.6400056,104.8753041,-34.18230476,7,7,8
MnMnMn,NaN,NaN,119.68,188.5,121.02,186.19,97.3,155.49,155.49,0.97072,1.09931,1.1056,-0.95334,0.55932,3.6835,4.71652,4.68798,0.23837,0.0927,-3.34046,-2.51006,-2.90646,-3.20254,-1.94725,1.618589,1.865709,1.618589,1.89838427,2.207868876,1.924291934,84.21940771,130.8769393,108.0649102,-33.53127541,7,7,7
MnMnZn,NaN,NaN,114.47,184.43,102.27,170.97,93.73,156.44,156.44,0.97392,1.10767,1.17859,-0.99996,0.5437,3.6515,4.70703,0.0243,0.13499,0.0515,-3.28292,-2.43991,-6.75725,-3.17246,-1.77788,1.691333,2.779181,1.691333,1.901541232,2.184216664,1.869030239,84.6857536,126.817751,106.9612223,-36.41174946,7,7,12
MnNiCo,NaN,NaN,115.83,186.65,116.72,180.13,97.02,162.41,162.41,0.95061,0.9935,0.96795,-0.89447,0.56116,3.6243,1.6631,2.5815,0.32277,0.0878,-3.21742,-2.58203,-2.78904,-3.20527,-1.91701,2.086116,1.606887,1.606887,1.920590615,2.076302114,1.866324388,81.46174112,124.2184962,107.0823497,-40.35058031,7,10,9
MnNiFe,NaN,NaN,325.5,390.07,118.25,179.58,272.67,341.67,179.58,0.96073,0.93352,0.86515,-0.82702,0.55053,3.6388,0.0245,2.0126,0.06665,0.0118,-3.67809,-2.43552,-2.41462,-3.90495,-2.10822,0.970432,1.118972,0.970432,1.928984354,2.072718405,1.858884409,82.14451351,128.1168764,109.2384073,-37.52028423,7,10,8
